time	V(v_out)	V(n002)
5.191639044364177e-006	8.974308e+001	9.330663e+001
5.214820462725233e-006	8.979563e+001	9.377435e+001
5.254741348200711e-006	8.989796e+001	9.431047e+001
5.318999528104631e-006	9.007534e+001	9.477702e+001
5.372094716000575e-006	9.022646e+001	9.498051e+001
5.446595862970065e-006	9.044007e+001	9.519374e+001
5.519999999999961e-006	9.065053e+001	9.540562e+001
5.520177416659775e-006	9.065103e+001	9.540492e+001
5.520532249979403e-006	9.065205e+001	9.540531e+001
5.521241916618767e-006	9.065408e+001	9.540736e+001
5.522221869830118e-006	9.065689e+001	9.541017e+001
5.524181776252819e-006	9.066251e+001	9.541578e+001
5.528101589098223e-006	9.067375e+001	9.542701e+001
5.533427132704155e-006	9.068902e+001	9.544225e+001
5.538640620793961e-006	9.070396e+001	9.545718e+001
5.544179993891983e-006	9.071984e+001	9.547304e+001
5.549342518750325e-006	9.073464e+001	9.548781e+001
5.554724441074140e-006	9.075008e+001	9.550321e+001
5.560086004352451e-006	9.076544e+001	9.551855e+001
5.565562944919431e-006	9.078114e+001	9.553423e+001
5.571284897681731e-006	9.079755e+001	9.555060e+001
5.576921434897542e-006	9.081371e+001	9.556673e+001
5.583349061347295e-006	9.083213e+001	9.558511e+001
5.589366951796061e-006	9.084938e+001	9.560233e+001
5.597308714871572e-006	9.087215e+001	9.562505e+001
5.605691390007960e-006	9.089618e+001	9.564904e+001
5.618893039983095e-006	9.093402e+001	9.568681e+001
5.633109133151414e-006	9.097477e+001	9.572749e+001
5.659762665662701e-006	9.105117e+001	9.580373e+001
5.693684921382063e-006	9.114840e+001	9.590077e+001
5.897218455698234e-006	9.173165e+001	9.648282e+001
6.168596501453130e-006	9.250897e+001	9.725839e+001
6.711352592963030e-006	9.406232e+001	9.880784e+001
7.687915092963031e-006	9.685352e+001	1.015909e+002
8.664477592963031e-006	9.964050e+001	1.043687e+002
9.023437499999917e-006	1.006634e+002	1.053878e+002
9.598731115557295e-006	1.023002e+002	1.070180e+002
9.767967025180245e-006	1.027811e+002	1.074969e+002
9.999999999999918e-006	1.034403e+002	1.081532e+002
1.000051059733896e-005	1.034417e+002	1.081546e+002
1.000153179201704e-005	1.034446e+002	1.081575e+002
1.000256158939733e-005	1.034475e+002	1.081604e+002
1.000358765229235e-005	1.034504e+002	1.081633e+002
1.000563977808251e-005	1.034563e+002	1.081691e+002
1.000856228643686e-005	1.034646e+002	1.081774e+002
1.001255720113180e-005	1.034759e+002	1.081887e+002
1.001766846044517e-005	1.034904e+002	1.082031e+002
1.002450210459236e-005	1.035098e+002	1.082225e+002
1.003349799297152e-005	1.035354e+002	1.082479e+002
1.004592749421043e-005	1.035706e+002	1.082830e+002
1.006349169822959e-005	1.036205e+002	1.083327e+002
1.009055413658344e-005	1.036973e+002	1.084091e+002
1.013688608001914e-005	1.038264e+002	1.084595e+002
1.022954996689055e-005	1.040719e+002	1.080881e+002
1.026460204310781e-005	1.041493e+002	1.074732e+002
1.030575273302397e-005	1.042165e+002	1.061819e+002
1.031215033457059e-005	1.042233e+002	1.059260e+002
1.032494553766371e-005	1.042313e+002	1.053335e+002
1.033144032936469e-005	1.042340e+002	1.050090e+002
1.033538242823956e-005	1.042348e+002	1.047917e+002
1.033771511403940e-005	1.042350e+002	1.046381e+002
1.033866930098576e-005	1.042350e+002	1.045354e+002
1.033915646388942e-005	1.042350e+002	1.044289e+002
1.033970076644861e-005	1.042350e+002	1.042486e+002
1.034007712125465e-005	1.042350e+002	1.041020e+002
1.034045151572386e-005	1.042350e+002	1.039468e+002
1.034120030466226e-005	1.042350e+002	1.036223e+002
1.034226139158773e-005	1.042350e+002	1.031367e+002
1.034372891128193e-005	1.042350e+002	1.024185e+002
1.034571796052451e-005	1.042350e+002	1.013587e+002
1.034862450495901e-005	1.042350e+002	9.963100e+001
1.035282878010697e-005	1.042350e+002	9.675273e+001
1.035924030445389e-005	1.042349e+002	9.150254e+001
1.036900108863676e-005	1.042349e+002	8.233926e+001
1.037057856370367e-005	1.042349e+002	8.061945e+001
1.037268186379300e-005	1.042348e+002	7.824780e+001
1.037688846397165e-005	1.042347e+002	7.355380e+001
1.037696579383345e-005	1.042347e+002	7.350006e+001
1.037712045355707e-005	1.042347e+002	7.345987e+001
1.037742977300429e-005	1.042347e+002	7.339171e+001
1.037804841189875e-005	1.042346e+002	7.327157e+001
1.037919919660943e-005	1.042343e+002	7.306888e+001
1.038050982437287e-005	1.042337e+002	7.285378e+001
1.038279188144060e-005	1.042323e+002	7.250447e+001
1.038708554398948e-005	1.042279e+002	7.190640e+001
1.039567286908734e-005	1.042135e+002	7.086414e+001
1.041284751928306e-005	1.041685e+002	6.906850e+001
1.043684653530524e-005	1.040749e+002	6.677244e+001
1.046827690713895e-005	1.039017e+002	6.372840e+001
1.049999999999998e-005	1.036838e+002	6.047964e+001
1.050317230928612e-005	1.036563e+002	6.018396e+001
1.050951692785828e-005	1.036001e+002	5.968684e+001
1.052220616500272e-005	1.034833e+002	5.900869e+001
1.054758463929159e-005	1.032417e+002	5.823550e+001
1.057740126290843e-005	1.029522e+002	5.773952e+001
1.061930661760946e-005	1.025420e+002	5.728176e+001
1.067781792359740e-005	1.019686e+002	5.670319e+001
1.102888575952535e-005	9.852850e+001	5.327038e+001
1.135190955209612e-005	9.536493e+001	5.011410e+001
1.182000000000006e-005	9.078255e+001	4.554309e+001
1.183245197374395e-005	9.066551e+001	4.587123e+001
1.185735592123182e-005	9.044922e+001	4.693528e+001
1.190716381620758e-005	9.009112e+001	4.974357e+001
1.196614039215501e-005	8.978739e+001	5.313211e+001
1.202335842288122e-005	8.960599e+001	5.611423e+001
1.205419171137665e-005	8.955401e+001	5.755350e+001
1.207243174488476e-005	8.954042e+001	5.835089e+001
1.208384126264513e-005	8.953730e+001	5.944614e+001
1.209230118005659e-005	8.953678e+001	6.180005e+001
1.210404585821597e-005	8.953671e+001	6.767589e+001
1.211647778406183e-005	8.953668e+001	7.602051e+001
1.212333674732930e-005	8.953667e+001	8.166477e+001
1.212793689788644e-005	8.953666e+001	8.597094e+001
1.213076675144343e-005	8.953667e+001	8.871317e+001
1.213214954824324e-005	8.953670e+001	8.987045e+001
1.213254232649685e-005	8.953671e+001	9.004829e+001
1.213295527294732e-005	8.953676e+001	9.012186e+001
1.213332763858553e-005	8.953680e+001	9.018026e+001
1.213372618790560e-005	8.953688e+001	9.023845e+001
1.213430901356703e-005	8.953700e+001	9.031882e+001
1.213488240509530e-005	8.953716e+001	9.039394e+001
1.213581344624421e-005	8.953747e+001	9.050912e+001
1.213690652848915e-005	8.953793e+001	9.063544e+001
1.213881469682397e-005	8.953895e+001	9.083540e+001
1.214190004454260e-005	8.954117e+001	9.111376e+001
1.214807073997976e-005	8.954728e+001	9.155215e+001
1.215996592039161e-005	8.956267e+001	9.217852e+001
1.217177448419331e-005	8.958167e+001	9.262677e+001
1.218914638684049e-005	8.961493e+001	9.310938e+001
1.220976921440702e-005	8.966047e+001	9.354915e+001
1.224527124233938e-005	8.974933e+001	9.408364e+001
1.229763499232346e-005	8.989186e+001	9.454249e+001
1.235790004616949e-005	9.006252e+001	9.480199e+001
1.242489738981689e-005	9.025402e+001	9.499543e+001
1.244874304757115e-005	9.032220e+001	9.506348e+001
1.247230868449141e-005	9.038956e+001	9.513074e+001
1.247286872615939e-005	9.039117e+001	9.513232e+001
1.247398880949537e-005	9.039437e+001	9.513551e+001
1.247622897616733e-005	9.040077e+001	9.514192e+001
1.248070930951124e-005	9.041358e+001	9.515470e+001
1.248966997619905e-005	9.043919e+001	9.518027e+001
1.250207866662428e-005	9.047467e+001	9.521568e+001
1.252000000000002e-005	9.052590e+001	9.526530e+001
1.252003911025119e-005	9.052601e+001	9.526636e+001
1.252011733075353e-005	9.052624e+001	9.526714e+001
1.252027377175822e-005	9.052668e+001	9.526761e+001
1.252058665376758e-005	9.052757e+001	9.526849e+001
1.252121241778631e-005	9.052937e+001	9.527029e+001
1.252246394582365e-005	9.053294e+001	9.527386e+001
1.252496700189835e-005	9.054010e+001	9.528101e+001
1.252997311404784e-005	9.055441e+001	9.529530e+001
1.253534782453842e-005	9.056977e+001	9.531065e+001
1.254046580190541e-005	9.058440e+001	9.532526e+001
1.254588013264145e-005	9.059988e+001	9.534071e+001
1.255103762339775e-005	9.061462e+001	9.535542e+001
