time	V(n001)
4.858022556889118e-003	-3.891672e+001
4.877511512961263e-003	-3.479130e+001
4.898387631775759e-003	-2.979606e+001
4.915045699575823e-003	-2.543844e+001
4.928823803661360e-003	-2.162164e+001
4.941395679830037e-003	-1.799695e+001
4.961376791564480e-003	-1.201449e+001
4.991259673928954e-003	-2.744337e+000
5.024689223555783e-003	7.724891e+000
5.044178179627929e-003	1.370075e+001
5.065054298442426e-003	1.987206e+001
5.081712366242490e-003	2.455647e+001
5.095490470328026e-003	2.823006e+001
5.108062346496702e-003	3.139824e+001
5.128043458231144e-003	3.602312e+001
5.157926340595616e-003	4.186166e+001
5.191355890222446e-003	4.664161e+001
5.210844846294593e-003	4.849206e+001
5.231720965109090e-003	4.966811e+001
5.248379032909156e-003	4.999491e+001
5.262157136994693e-003	4.985171e+001
5.274729013163370e-003	4.939520e+001
5.294710124897813e-003	4.803761e+001
5.324593007262286e-003	4.460600e+001
5.358022556889115e-003	3.891672e+001
5.377511512961261e-003	3.479130e+001
5.398387631775759e-003	2.979606e+001
5.415045699575824e-003	2.543844e+001
5.428823803661360e-003	2.162164e+001
5.441395679830037e-003	1.799695e+001
5.461376791564479e-003	1.201449e+001
5.491259673928953e-003	2.744337e+000
5.524689223555782e-003	-7.724891e+000
5.544178179627927e-003	-1.370075e+001
5.565054298442425e-003	-1.987206e+001
5.581712366242490e-003	-2.455647e+001
5.595490470328027e-003	-2.823006e+001
5.608062346496704e-003	-3.139824e+001
5.628043458231147e-003	-3.602312e+001
5.657926340595621e-003	-4.186166e+001
5.691355890222449e-003	-4.664161e+001
5.710844846294594e-003	-4.849206e+001
5.731720965109092e-003	-4.966811e+001
5.748379032909157e-003	-4.999491e+001
5.762157136994694e-003	-4.985171e+001
5.774729013163372e-003	-4.939520e+001
5.794710124897815e-003	-4.803761e+001
5.824593007262290e-003	-4.460600e+001
5.858022556889118e-003	-3.891672e+001
5.877511512961263e-003	-3.479130e+001
5.898387631775760e-003	-2.979606e+001
5.915045699575824e-003	-2.543844e+001
5.928823803661361e-003	-2.162164e+001
5.941395679830039e-003	-1.799695e+001
5.961376791564483e-003	-1.201449e+001
5.991259673928958e-003	-2.744337e+000
6.024689223555786e-003	7.724891e+000
6.044178179627930e-003	1.370075e+001
6.065054298442426e-003	1.987206e+001
6.081712366242491e-003	2.455647e+001
6.095490470328027e-003	2.823006e+001
6.108062346496704e-003	3.139824e+001
6.128043458231146e-003	3.602312e+001
6.157926340595621e-003	4.186166e+001
6.191355890222450e-003	4.664161e+001
6.210844846294595e-003	4.849206e+001
6.231720965109093e-003	4.966811e+001
6.248379032909156e-003	4.999491e+001
6.262157136994693e-003	4.985171e+001
6.274729013163370e-003	4.939520e+001
6.294710124897813e-003	4.803761e+001
6.324593007262287e-003	4.460600e+001
6.358022556889116e-003	3.891672e+001
6.377511512961262e-003	3.479130e+001
6.398387631775759e-003	2.979606e+001
6.415045699575824e-003	2.543844e+001
6.428823803661360e-003	2.162164e+001
6.441395679830037e-003	1.799695e+001
6.461376791564480e-003	1.201449e+001
6.491259673928954e-003	2.744337e+000
6.524689223555783e-003	-7.724891e+000
6.544178179627927e-003	-1.370075e+001
6.565054298442425e-003	-1.987206e+001
6.581712366242490e-003	-2.455647e+001
6.595490470328026e-003	-2.823006e+001
6.608062346496703e-003	-3.139824e+001
6.628043458231146e-003	-3.602312e+001
6.657926340595619e-003	-4.186166e+001
6.691355890222448e-003	-4.664161e+001
6.710844846294594e-003	-4.849206e+001
6.731720965109092e-003	-4.966811e+001
6.748379032909157e-003	-4.999491e+001
6.762157136994695e-003	-4.985171e+001
6.774729013163373e-003	-4.939520e+001
6.794710124897817e-003	-4.803761e+001
6.824593007262293e-003	-4.460600e+001
6.858022556889120e-003	-3.891672e+001
6.877511512961264e-003	-3.479130e+001
6.898387631775761e-003	-2.979606e+001
6.915045699575824e-003	-2.543844e+001
6.928823803661360e-003	-2.162164e+001
6.941395679830037e-003	-1.799695e+001
6.961376791564480e-003	-1.201449e+001
6.991259673928954e-003	-2.744337e+000
7.024689223555782e-003	7.724891e+000
7.044178179627928e-003	1.370075e+001
7.065054298442426e-003	1.987206e+001
7.081712366242491e-003	2.455647e+001
7.095490470328027e-003	2.823006e+001
7.108062346496705e-003	3.139824e+001
7.128043458231148e-003	3.602312e+001
7.157926340595622e-003	4.186166e+001
7.191355890222450e-003	4.664161e+001
7.210844846294596e-003	4.849206e+001
7.231720965109092e-003	4.966811e+001
7.248379032909156e-003	4.999491e+001
7.262157136994692e-003	4.985171e+001
7.274729013163367e-003	4.939520e+001
7.294710124897808e-003	4.803761e+001
7.324593007262278e-003	4.460600e+001
7.358022556889110e-003	3.891672e+001
7.377511512961258e-003	3.479130e+001
7.398387631775757e-003	2.979606e+001
7.415045699575823e-003	2.543844e+001
7.428823803661360e-003	2.162164e+001
7.441395679830037e-003	1.799695e+001
7.461376791564479e-003	1.201449e+001
7.491259673928953e-003	2.744337e+000
7.524689223555782e-003	-7.724891e+000
7.544178179627928e-003	-1.370075e+001
7.565054298442425e-003	-1.987206e+001
7.581712366242490e-003	-2.455647e+001
7.595490470328026e-003	-2.823006e+001
7.608062346496703e-003	-3.139824e+001
7.628043458231146e-003	-3.602312e+001
7.657926340595620e-003	-4.186166e+001
7.691355890222449e-003	-4.664161e+001
7.710844846294595e-003	-4.849206e+001
7.731720965109091e-003	-4.966811e+001
7.748379032909156e-003	-4.999491e+001
7.762157136994694e-003	-4.985171e+001
7.774729013163371e-003	-4.939520e+001
7.794710124897814e-003	-4.803761e+001
7.824593007262288e-003	-4.460600e+001
7.858022556889117e-003	-3.891672e+001
7.877511512961262e-003	-3.479130e+001
7.898387631775760e-003	-2.979606e+001
7.915045699575823e-003	-2.543844e+001
7.928823803661360e-003	-2.162164e+001
7.941395679830036e-003	-1.799695e+001
7.961376791564480e-003	-1.201449e+001
7.991259673928953e-003	-2.744337e+000
8.024689223555783e-003	7.724891e+000
8.044178179627928e-003	1.370075e+001
8.065054298442426e-003	1.987206e+001
8.081712366242489e-003	2.455647e+001
8.095490470328027e-003	2.823006e+001
8.108062346496704e-003	3.139824e+001
8.128043458231147e-003	3.602312e+001
8.157926340595622e-003	4.186166e+001
8.191355890222450e-003	4.664161e+001
8.210844846294595e-003	4.849206e+001
8.231720965109093e-003	4.966811e+001
8.248379032909158e-003	4.999491e+001
8.262157136994696e-003	4.985171e+001
8.274729013163375e-003	4.939520e+001
8.294710124897820e-003	4.803761e+001
8.324593007262297e-003	4.460600e+001
8.358022556889123e-003	3.891672e+001
8.377511512961264e-003	3.479130e+001
8.398387631775759e-003	2.979606e+001
8.415045699575826e-003	2.543844e+001
8.428823803661360e-003	2.162164e+001
8.441395679830037e-003	1.799695e+001
8.461376791564480e-003	1.201449e+001
8.491259673928955e-003	2.744337e+000
8.524689223555784e-003	-7.724891e+000
8.544178179627928e-003	-1.370075e+001
8.565054298442426e-003	-1.987206e+001
8.581712366242491e-003	-2.455647e+001
8.595490470328027e-003	-2.823006e+001
8.608062346496704e-003	-3.139824e+001
8.628043458231148e-003	-3.602312e+001
8.657926340595623e-003	-4.186166e+001
8.691355890222451e-003	-4.664161e+001
8.710844846294596e-003	-4.849206e+001
8.731720965109093e-003	-4.966811e+001
8.748379032909157e-003	-4.999491e+001
8.762157136994693e-003	-4.985171e+001
8.774729013163370e-003	-4.939520e+001
8.794710124897813e-003	-4.803761e+001
8.824593007262287e-003	-4.460600e+001
8.858022556889117e-003	-3.891672e+001
8.877511512961261e-003	-3.479130e+001
8.898387631775759e-003	-2.979606e+001
8.915045699575824e-003	-2.543844e+001
8.928823803661360e-003	-2.162164e+001
8.941395679830037e-003	-1.799695e+001
8.961376791564481e-003	-1.201449e+001
8.991259673928956e-003	-2.744337e+000
9.024689223555784e-003	7.724891e+000
9.044178179627929e-003	1.370075e+001
9.065054298442427e-003	1.987206e+001
9.081712366242492e-003	2.455647e+001
9.095490470328030e-003	2.823006e+001
9.108062346496708e-003	3.139824e+001
9.128043458231153e-003	3.602312e+001
9.157926340595630e-003	4.186166e+001
9.191355890222457e-003	4.664161e+001
9.210844846294598e-003	4.849206e+001
9.231720965109092e-003	4.966811e+001
9.248379032909156e-003	4.999491e+001
9.262157136994690e-003	4.985171e+001
9.274729013163365e-003	4.939520e+001
9.294710124897805e-003	4.803761e+001
9.324593007262277e-003	4.460600e+001
9.358022556889110e-003	3.891672e+001
9.377511512961258e-003	3.479130e+001
9.398387631775756e-003	2.979606e+001
9.415045699575823e-003	2.543844e+001
9.428823803661359e-003	2.162164e+001
9.441395679830036e-003	1.799695e+001
9.461376791564478e-003	1.201449e+001
9.491259673928951e-003	2.744337e+000
9.524689223555781e-003	-7.724891e+000
9.544178179627928e-003	-1.370075e+001
9.565054298442425e-003	-1.987206e+001
9.581712366242490e-003	-2.455647e+001
9.595490470328026e-003	-2.823006e+001
9.608062346496703e-003	-3.139824e+001
9.628043458231147e-003	-3.602312e+001
9.657926340595620e-003	-4.186166e+001
9.691355890222450e-003	-4.664161e+001
9.710844846294595e-003	-4.849206e+001
9.731720965109093e-003	-4.966811e+001
9.748379032909158e-003	-4.999491e+001
9.762157136994694e-003	-4.985171e+001
9.774729013163371e-003	-4.939520e+001
9.794710124897813e-003	-4.803761e+001
9.824593007262286e-003	-4.460600e+001
9.858022556889116e-003	-3.891672e+001
9.877511512961262e-003	-3.479130e+001
9.898387631775760e-003	-2.979606e+001
9.915045699575823e-003	-2.543844e+001
9.928823803661360e-003	-2.162164e+001
9.941395679830037e-003	-1.799695e+001
9.961376791564480e-003	-1.201449e+001
9.991259673928953e-003	-2.744337e+000
1.002468922355578e-002	7.724891e+000
1.004417817962793e-002	1.370075e+001
1.006505429844243e-002	1.987206e+001
1.008171236624249e-002	2.455647e+001
1.009549047032802e-002	2.823006e+001
1.010806234649670e-002	3.139824e+001
1.012804345823114e-002	3.602312e+001
1.015792634059561e-002	4.186166e+001
1.019135589022244e-002	4.664161e+001
1.021084484629459e-002	4.849206e+001
1.023172096510909e-002	4.966811e+001
1.024837903290916e-002	4.999491e+001
1.026215713699469e-002	4.985171e+001
1.027472901316337e-002	4.939520e+001
1.029471012489781e-002	4.803761e+001
1.032459300726229e-002	4.460600e+001
1.035802255688912e-002	3.891672e+001
1.037751151296126e-002	3.479130e+001
1.039838763177576e-002	2.979606e+001
1.041504569957582e-002	2.543844e+001
1.042882380366136e-002	2.162164e+001
1.044139567983004e-002	1.799695e+001
1.046137679156448e-002	1.201449e+001
1.049125967392895e-002	2.744337e+000
1.052468922355578e-002	-7.724891e+000
1.054417817962793e-002	-1.370075e+001
1.056505429844243e-002	-1.987206e+001
1.058171236624249e-002	-2.455647e+001
1.059549047032803e-002	-2.823006e+001
1.060806234649670e-002	-3.139824e+001
1.062804345823115e-002	-3.602312e+001
1.065792634059562e-002	-4.186166e+001
1.069135589022245e-002	-4.664161e+001
1.071084484629460e-002	-4.849206e+001
1.073172096510909e-002	-4.966811e+001
1.074837903290916e-002	-4.999491e+001
1.076215713699470e-002	-4.985171e+001
1.077472901316337e-002	-4.939520e+001
1.079471012489782e-002	-4.803761e+001
1.082459300726229e-002	-4.460600e+001
1.085802255688912e-002	-3.891672e+001
1.087751151296126e-002	-3.479130e+001
1.089838763177576e-002	-2.979606e+001
1.091504569957582e-002	-2.543844e+001
1.092882380366136e-002	-2.162164e+001
1.094139567983004e-002	-1.799695e+001
1.096137679156449e-002	-1.201449e+001
1.099125967392896e-002	-2.744337e+000
1.102468922355579e-002	7.724891e+000
1.104417817962793e-002	1.370075e+001
1.106505429844243e-002	1.987206e+001
1.108171236624249e-002	2.455647e+001
1.109549047032803e-002	2.823006e+001
1.110806234649671e-002	3.139824e+001
1.112804345823115e-002	3.602312e+001
1.115792634059562e-002	4.186166e+001
1.119135589022245e-002	4.664161e+001
1.121084484629460e-002	4.849206e+001
1.123172096510909e-002	4.966811e+001
1.124837903290916e-002	4.999491e+001
1.126215713699469e-002	4.985171e+001
1.127472901316337e-002	4.939520e+001
1.129471012489781e-002	4.803761e+001
1.132459300726229e-002	4.460600e+001
1.135802255688912e-002	3.891672e+001
1.137751151296126e-002	3.479130e+001
1.139838763177576e-002	2.979606e+001
1.141504569957582e-002	2.543844e+001
1.142882380366136e-002	2.162164e+001
1.144139567983003e-002	1.799695e+001
1.146137679156447e-002	1.201449e+001
1.149125967392894e-002	2.744337e+000
1.152468922355578e-002	-7.724891e+000
1.154417817962792e-002	-1.370075e+001
1.156505429844243e-002	-1.987206e+001
1.158171236624249e-002	-2.455647e+001
1.159549047032803e-002	-2.823006e+001
1.160806234649670e-002	-3.139824e+001
1.162804345823115e-002	-3.602312e+001
1.165792634059562e-002	-4.186166e+001
1.169135589022245e-002	-4.664161e+001
1.171084484629460e-002	-4.849206e+001
1.173172096510909e-002	-4.966811e+001
1.174837903290916e-002	-4.999491e+001
1.176215713699469e-002	-4.985171e+001
1.177472901316337e-002	-4.939520e+001
1.179471012489781e-002	-4.803761e+001
1.182459300726228e-002	-4.460600e+001
1.185802255688911e-002	-3.891672e+001
1.187751151296126e-002	-3.479130e+001
1.189838763177576e-002	-2.979606e+001
1.191504569957582e-002	-2.543844e+001
1.192882380366136e-002	-2.162164e+001
1.194139567983004e-002	-1.799695e+001
1.196137679156448e-002	-1.201449e+001
1.199125967392896e-002	-2.744337e+000
1.202468922355578e-002	7.724891e+000
1.204417817962793e-002	1.370075e+001
1.206505429844243e-002	1.987206e+001
1.208171236624249e-002	2.455647e+001
1.209549047032803e-002	2.823006e+001
1.210806234649670e-002	3.139824e+001
1.212804345823115e-002	3.602312e+001
1.215792634059562e-002	4.186166e+001
1.219135589022245e-002	4.664161e+001
1.221084484629460e-002	4.849206e+001
1.223172096510909e-002	4.966811e+001
1.224837903290916e-002	4.999491e+001
1.226215713699469e-002	4.985171e+001
1.227472901316337e-002	4.939520e+001
1.229471012489781e-002	4.803761e+001
1.232459300726229e-002	4.460600e+001
1.235802255688912e-002	3.891672e+001
1.237751151296126e-002	3.479130e+001
1.239838763177576e-002	2.979606e+001
1.241504569957583e-002	2.543844e+001
1.242882380366136e-002	2.162164e+001
1.244139567983004e-002	1.799695e+001
1.246137679156449e-002	1.201449e+001
1.249125967392896e-002	2.744337e+000
1.252468922355579e-002	-7.724891e+000
1.254417817962793e-002	-1.370075e+001
1.256505429844243e-002	-1.987206e+001
1.258171236624249e-002	-2.455647e+001
